Video Duration,Video Publish Time,Days Since Publish,Day,Month,Year,Day of Week,Revenue per 1000 Views (USD),Monetized Playbacks (Estimate),Playback-Based CPM (USD),CPM (USD),Ad Impressions,Estimated AdSense Revenue (USD),DoubleClick Revenue (USD),YouTube Ads Revenue (USD),Watch Page Ads Revenue (USD),YouTube Premium (USD),New Comments,Shares,Like Rate (%),Dislikes,Likes,Unsubscribes,New Subscribers,End Screen Click-Through Rate (%),End Screen Impressions,End Screen Clicks,Teaser Click-Through Rate (%),Teaser Impressions,Teaser Clicks,Card Click-Through Rate (%),Card Impressions,Card Clicks,Views per Playlist Start,Playlist Views,Playlist Watch Time (hours),Clip Watch Time (hours),Clip Views,YouTube Premium Watch Time (hours),YouTube Premium Views,Watched (Not Skipped) (%),Feed Impressions,Average View Percentage (%),Average View Duration,Views,Watch Time (hours),Subscribers,Estimated Revenue (USD),Impressions,Video Thumbnail CTR (%),Net_Subscriber_Change,Churn_Label,Publish_Weekday,Publish_Month,Publish_Season,Day_sin,Day_cos,Like_Rate,Comment_Rate,Share_Rate,Sub_Conversion_Rate,Unsub_Rate,CPM_Drift,Revenue_Efficiency,Ad_Density,Premium_Watch_Share,Engagement_Depth,Retention_Rate,Dropoff_Index,SubLoss_Weight,Predicted_Prob,Predicted_Label,Engagement_Tier,Revenue_Tier,Cohort,Engagement_Stability_Index,ESI_Tier
841,2016-11-02,4,2,11,2016,Wednesday,0.074,1998.0,1.07,0.825,2591.0,1.096,0.079,2.137,1.175,0.005,108.0,13.0,97.65,15.0,624.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.3595,0.0,0.0,1.296,17.0,0.0,0.0,48.28,406.0,15881.0,1795.3155,63.0,1.18,45212.0,3.18,63.0,0,2,11,Fall,0.39435585511331855,0.9189578116202306,0.03929223598054768,0.00680057930432556,0.0008185882495947433,0.00396700459418991,0.0001,0.2450000000000001,7.430262573244593e-05,0.1631509349769215,0.0007218786852679728,0.4827586149493625,0.4828,100.00857261773399,0.0,0.009739944,0,Medium,Medium,Medium_Medium,0.9509418983988255,Medium
550,2016-11-03,1,3,11,2016,Thursday,0.06,40895.0,0.761,0.553,56288.0,14.154,2.973,31.135,17.127,0.047,583.0,899.0,97.26,177.0,6285.0,16.0,737.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6466,1078.0,53.9704,0.0,0.0,27.4099,601.0,0.0,0.0,32.9,181.0,284819.0,14360.0617,721.0,17.173,1407523.0,7.65,721.0,1,3,11,Fall,0.5712682150947923,0.8207634412072763,0.022066645833948344,0.0020469140049629094,0.0031563905496769388,0.0025876082704248096,5.61760275804572e-05,0.20799999999999996,6.029443260244946e-05,0.19762726502804842,0.0019087592068571968,0.32909090310743816,0.32899999999999996,99.97237750828728,1.1101914690865972e-05,0.9777721,1,Low,High,Low_High,0.5203926612012445,Medium
502,2016-11-05,2,5,11,2016,Saturday,0.056,2683.0,0.98,0.699,3761.0,1.219,0.228,2.63,1.447,0.0,113.0,47.0,96.32,34.0,889.0,3.0,115.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.1455,0.0,0.0,0.7923,31.0,0.0,0.0,20.52,103.0,25727.0,742.1827,112.0,1.447,96372.0,6.95,112.0,0,5,11,Fall,0.8486442574947509,0.5289640103269624,0.03455513661345857,0.004392272707897433,0.0018268744891254813,0.00447001204786022,0.00011660900994417966,0.281,5.624441246307599e-05,0.1461888288000199,0.0010675268897061751,0.20517927878128928,0.2052,100.01009907961165,1.70469345912695e-05,0.3533014,0,Low,Medium,Low_Medium,0.14976983449750994,Low
1100,2016-11-06,1,6,11,2016,Sunday,0.072,3357.0,0.805,0.632,4274.0,1.32,0.167,2.702,1.486,0.005,146.0,31.0,96.23,28.0,714.0,1.0,116.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,2.312,0.0,0.0,1.4716,23.0,0.0,0.0,36.92,406.0,20623.0,2326.6793,115.0,1.491,45688.0,3.38,115.0,0,6,11,Fall,0.9377521321470804,0.3473052528448203,0.0346215390415451,0.007079474369839755,0.001503176064828989,0.00562478785548912,4.8489550478354485e-05,0.17300000000000004,7.229791976322653e-05,0.20724433874448706,0.0006324893996672021,0.3690909057355372,0.36920000000000003,100.02955755960592,1.0049184824904001e-05,0.025675185,0,Low,Medium,Low_Medium,0.7874576816679509,Medium
1365,2016-11-08,2,8,11,2016,Tuesday,0.127,7460.0,1.73,0.959,13452.0,6.162,0.937,12.907,7.099,0.088,187.0,53.0,94.9,88.0,1636.0,2.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0556,37.0,5.2392,0.0,0.0,20.5141,139.0,0.0,0.0,30.69,419.0,56759.0,6619.2407,253.0,7.187,166873.0,5.84,253.0,0,1,11,Fall,0.9987165071710528,-0.05064916883871264,0.028823622680310853,0.003294631687786143,0.0009337726173939335,0.0044926795742538305,3.5236702543167304e-05,0.771,0.00012662309058887171,0.23700206130534326,0.00309916210918397,0.30695970471091794,0.3069,99.98054965847255,8.351171136333883e-06,0.27498657,0,Low,Medium,Low_Medium,0.1221811000216639,Low
183,2016-11-09,1,9,11,2016,Wednesday,0.053,26079.0,0.634,0.459,35975.0,7.739,1.352,16.527,9.091,0.023,453.0,432.0,96.48,147.0,4031.0,32.0,750.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7356,650.0,12.2648,0.0,0.0,6.2152,336.0,0.0,0.0,41.99,77.0,170618.0,3661.5789,718.0,9.114,454497.0,11.4,718.0,0,2,11,Fall,0.9680771188662043,-0.2506525322587204,0.0236258776903008,0.002655053980080938,0.0025319720074944044,0.004395784735233341,0.00018755348203662256,0.175,5.341757610255557e-05,0.21085114113335926,0.0016974098203990364,0.4207650043297812,0.4199,99.79442103766233,3.954586571095686e-05,0.65006936,1,Low,High,Low_High,1.0085147135535029,Medium
729,2016-11-12,3,12,11,2016,Saturday,0.089,3471.0,0.871,0.677,4462.0,1.505,0.158,3.023,1.663,0.007,168.0,16.0,95.15,38.0,745.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,0.9033,0.0,0.0,1.6686,25.0,0.0,0.0,41.3,301.0,18699.0,1566.0586,75.0,1.67,51713.0,3.51,75.0,0,5,11,Fall,0.6513724827222223,-0.758758122692791,0.039841702743546877,0.008984437665658892,0.0008556607300627516,0.004064388467798071,5.347879562892198e-05,0.19399999999999995,8.93095887002997e-05,0.23862238609624986,0.0010654773642220197,0.4128943701934929,0.413,100.02558276744185,1.276123781852706e-05,0.032984115,0,Low,Medium,Low_Medium,0.8787545368846731,Medium
1029,2016-11-15,3,15,11,2016,Tuesday,0.082,5108.0,1.115,0.871,6540.0,2.814,0.318,5.694,3.132,0.04,215.0,64.0,96.74,50.0,1483.0,2.0,152.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5556,23.0,3.4245,0.0,0.0,9.8793,94.0,0.0,0.0,40.23,414.0,38576.0,4440.1287,150.0,3.172,126258.0,6.45,150.0,0,1,11,Fall,0.10116832198743272,-0.994869323391895,0.03844359186062744,0.005573413519915643,0.0016590626291841915,0.003940273744312455,5.1845707162005984e-05,0.244,8.22272915589415e-05,0.16953546241975956,0.00222500306753495,0.40233235760609953,0.4023,99.99195749347825,8.789685938190125e-06,0.03904826,0,Low,Medium,Low_Medium,0.6632127980672916,Medium
1435,2016-11-20,5,20,11,2016,Sunday,0.073,2585.0,0.867,0.639,3509.0,1.074,0.158,2.242,1.232,0.005,121.0,11.0,96.88,21.0,653.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.7249,0.0,0.0,0.7297,9.0,0.0,0.0,32.06,460.0,17023.0,2177.1458,41.0,1.237,45235.0,2.7,41.0,0,6,11,Fall,-0.7907757369376986,-0.6121059825476627,0.038359866041026924,0.007108030307755372,0.0006461845734323066,0.002467250189468807,5.874405213020969e-05,0.22799999999999998,7.266639248506939e-05,0.20613287892490578,0.00033516358741264097,0.32055748905534853,0.3206,100.01326156652173,1.2109080585314867e-05,0.026398206,0,Low,Medium,Low_Medium,0.45063271490986184,Low
479,2016-11-23,3,23,11,2016,Wednesday,0.08,1449.0,0.885,0.661,1939.0,0.67,0.035,1.282,0.705,0.001,87.0,3.0,96.19,18.0,454.0,2.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.4597,0.0,0.0,0.3748,7.0,0.0,0.0,44.92,215.0,8788.0,526.3009,17.0,0.706,35900.0,2.31,17.0,0,2,11,Fall,-0.9987165071710528,-0.05064916883871355,0.05166135633629796,0.009899863438894102,0.00034137460134117594,0.0021620391418274475,0.00022758306756078396,0.22399999999999998,8.033682284895674e-05,0.22064178400018003,0.0007121401329136977,0.4488517651596709,0.44920000000000004,100.07758348465116,5.021433403484487e-05,0.0782326,0,Medium,Low,Medium_Low,0.8991945154623279,Medium
